prime,resonance,mod12,gap,nearest_target,distance
7,8.510593,7,4,7,0.0
5,8.141706,5,2,5,0.0
11,7.979227,11,2,11,0.0
3,7.360482,3,2,3,0.0
13,7.246409,1,4,13,0.0
2,6.844883,2,1,2,0.0
17,5.548212,5,2,16,1.0
19,4.830655,7,4,16,3.0
23,3.896633,11,6,25,2.0
29,3.091474,5,2,27,2.0
31,2.760489,7,6,32,1.0
127,2.648516,7,4,128,1.0
131,1.979487,11,6,128,3.0
37,1.638492,1,4,32,5.0
251,1.306093,11,6,256,5.0
41,1.197871,5,2,49,8.0
61,1.169409,1,6,64,3.0
53,1.164444,5,6,49,4.0
59,1.155315,11,2,64,5.0
47,1.148077,11,6,49,2.0
257,1.130908,5,6,256,1.0
43,1.125357,7,4,49,6.0
67,1.093958,7,4,64,3.0
79,1.066312,7,4,81,2.0
241,1.066189,1,10,243,2.0
71,0.988413,11,2,64,7.0
83,0.987851,11,6,81,2.0
73,0.975302,1,6,81,8.0
167,0.960790,11,6,169,2.0
727,0.960789,7,6,729,2.0
2399,0.960789,11,12,2401,2.0
6563,0.960789,11,6,6561,2.0
14639,0.960789,11,14,14641,2.0
19681,0.960789,1,6,19683,2.0
59051,0.960789,11,2,59049,2.0
1021,0.913931,1,10,1024,3.0
509,0.913931,5,12,512,3.0
239,0.907720,11,2,243,4.0
113,0.869655,5,14,121,8.0
173,0.852144,5,6,169,4.0
347,0.852144,11,2,343,4.0
1327,0.852144,7,34,1331,4.0
15629,0.852144,5,12,15625,4.0
16811,0.852144,11,12,16807,4.0
733,0.852144,1,6,729,4.0
19687,0.852144,7,10,19683,4.0
3121,0.852144,1,16,3125,4.0
59053,0.852144,1,10,59049,4.0
78121,0.852144,1,16,78125,4.0
1019,0.778801,11,2,1024,5.0
2203,0.774981,7,4,2197,6.0
137,0.759126,5,2,128,9.0
163,0.697682,7,4,169,6.0
3119,0.697676,11,2,3125,6.0
631,0.697676,7,10,625,6.0
349,0.697676,1,4,343,6.0
337,0.697676,1,10,343,6.0
15619,0.697676,7,10,15625,6.0
619,0.697676,7,12,625,6.0
263,0.630942,11,6,256,7.0
1031,0.612626,11,2,1024,7.0
2179,0.566456,7,24,2187,8.0
89,0.529261,5,8,81,8.0
14633,0.527292,5,6,14641,8.0
617,0.527292,5,2,625,8.0
6553,0.527292,1,10,6561,8.0
2393,0.527292,5,6,2401,8.0
6569,0.527292,5,2,6561,8.0
139,0.478343,7,10,128,11.0
1033,0.444858,1,6,1024,9.0
503,0.444858,11,6,512,9.0
521,0.444858,5,2,512,9.0
2207,0.386195,11,6,2197,10.0
233,0.372921,5,6,243,10.0
179,0.367879,11,2,169,10.0
719,0.367879,11,8,729,10.0
739,0.367879,7,4,729,10.0
2411,0.367879,11,6,2401,10.0
6571,0.367879,7,6,6561,10.0
353,0.367879,5,6,343,10.0
1321,0.367879,1,6,1331,10.0
6551,0.367879,11,2,6561,10.0
109,0.341678,1,4,121,12.0
1013,0.298197,5,6,1024,11.0
523,0.298197,7,18,512,11.0
157,0.237188,1,6,169,12.0
181,0.236928,1,10,169,12.0
1319,0.236928,11,2,1331,12.0
3137,0.236928,5,26,3125,12.0
14629,0.236928,1,4,14641,12.0
331,0.236928,7,6,343,12.0
613,0.236928,1,4,625,12.0
14653,0.236928,1,4,14641,12.0
2389,0.236928,1,4,2401,12.0
78137,0.236928,5,2,78125,12.0
107,0.193337,11,2,121,14.0
269,0.185679,5,2,256,13.0
499,0.184520,7,4,512,13.0
229,0.141541,1,4,243,14.0
6547,0.140858,7,4,6561,14.0
431,0.000000,11,2,512,81.0
433,0.000000,1,6,512,79.0
421,0.000000,1,10,343,78.0
419,0.000000,11,2,343,76.0
439,0.000000,7,4,512,73.0
443,0.000000,11,6,512,69.0
409,0.000000,1,10,343,66.0
449,0.000000,5,8,512,63.0
401,0.000000,5,8,343,58.0
569,0.000000,5,2,625,56.0
457,0.000000,1,4,512,55.0
397,0.000000,1,4,343,54.0
571,0.000000,7,6,625,54.0
461,0.000000,5,2,512,51.0
563,0.000000,11,6,512,51.0
463,0.000000,7,4,512,49.0
577,0.000000,1,10,625,48.0
389,0.000000,5,8,343,46.0
467,0.000000,11,12,512,45.0
557,0.000000,5,6,512,45.0
383,0.000000,11,6,343,40.0
673,0.000000,1,4,625,48.0
677,0.000000,5,6,729,52.0
683,0.000000,11,8,729,46.0
587,0.000001,11,6,625,38.0
691,0.000001,7,10,729,38.0
293,0.000001,5,14,256,37.0
379,0.000002,7,4,343,36.0
661,0.000002,1,12,625,36.0
307,0.000002,7,4,343,36.0
547,0.000005,7,10,512,35.0
659,0.000010,11,2,625,34.0
479,0.000019,11,8,512,33.0
593,0.000036,5,6,625,32.0
761,0.000036,5,8,729,32.0
769,0.000000,1,4,729,40.0
773,0.000000,5,14,729,44.0
787,0.000000,7,10,729,58.0
797,0.000000,5,12,729,68.0
809,0.000000,5,2,729,80.0
811,0.000000,7,10,729,82.0
821,0.000000,5,2,729,92.0
823,0.000000,7,4,729,94.0
827,0.000000,11,2,729,98.0
829,0.000000,1,10,729,100.0
839,0.000000,11,14,729,110.0
853,0.000000,1,4,729,124.0
857,0.000000,5,2,729,128.0
859,0.000000,7,4,729,130.0
863,0.000000,11,14,729,134.0
877,0.000000,1,4,1024,147.0
881,0.000000,5,2,1024,143.0
883,0.000000,7,4,1024,141.0
887,0.000000,11,20,1024,137.0
907,0.000000,7,4,1024,117.0
911,0.000000,11,8,1024,113.0
919,0.000000,7,10,1024,105.0
929,0.000000,5,8,1024,95.0
937,0.000000,1,4,1024,87.0
941,0.000000,5,6,1024,83.0
947,0.000000,11,6,1024,77.0
953,0.000000,5,14,1024,71.0
967,0.000000,7,4,1024,57.0
971,0.000000,11,6,1024,53.0
977,0.000000,5,6,1024,47.0
983,0.000000,11,8,1024,41.0
991,0.000019,7,6,1024,33.0
311,0.000036,11,2,343,32.0
211,0.000036,7,12,243,32.0
373,0.000123,1,6,343,30.0
313,0.000123,1,4,343,30.0
199,0.000123,7,12,169,30.0
541,0.000223,1,6,512,29.0
701,0.000394,5,8,729,28.0
653,0.000394,5,6,625,28.0
757,0.000394,1,4,729,28.0
197,0.000394,5,2,169,28.0
1061,0.000001,5,2,1024,37.0
1063,0.000000,7,6,1024,39.0
1069,0.000000,1,18,1024,45.0
1087,0.000000,7,4,1024,63.0
1091,0.000000,11,2,1024,67.0
1093,0.000000,1,4,1024,69.0
1097,0.000000,5,6,1024,73.0
1103,0.000000,11,6,1024,79.0
1109,0.000000,5,8,1024,85.0
1117,0.000000,1,6,1024,93.0
1123,0.000000,7,6,1024,99.0
1129,0.000000,1,22,1024,105.0
1151,0.000000,11,2,1024,127.0
1153,0.000000,1,10,1024,129.0
1163,0.000000,11,8,1024,139.0
1171,0.000000,7,10,1024,147.0
1181,0.000000,5,6,1331,150.0
1187,0.000000,11,6,1331,144.0
1193,0.000000,5,8,1331,138.0
1201,0.000000,1,12,1331,130.0
1213,0.000000,1,4,1331,118.0
1217,0.000000,5,6,1331,114.0
1223,0.000000,11,6,1331,108.0
1229,0.000000,5,2,1331,102.0
1231,0.000000,7,6,1331,100.0
1237,0.000000,1,12,1331,94.0
1249,0.000000,1,10,1331,82.0
1259,0.000000,11,18,1331,72.0
1277,0.000000,5,2,1331,54.0
1279,0.000000,7,4,1331,52.0
1283,0.000000,11,6,1331,48.0
1289,0.000000,5,2,1331,42.0
1291,0.000000,7,6,1331,40.0
1297,0.000010,1,4,1331,34.0
1301,0.000123,5,2,1331,30.0
1303,0.000394,7,4,1331,28.0
997,0.000682,1,12,1024,27.0
1051,0.000682,7,10,1024,27.0
283,0.000682,7,10,256,27.0
599,0.001159,11,2,625,26.0
1361,0.000123,5,6,1331,30.0
1367,0.000002,11,6,1331,36.0
1373,0.000000,5,8,1331,42.0
1381,0.000000,1,18,1331,50.0
