torus_id,frequency,period,amplitude,phase,major_radius,minor_radius,center_k,k_min,k_max,confidence
1,0.499023,2,3007.175538,-0.820148,3007.175538,1503.587769,89.723850,-2917.451688,3096.899388,561.6271
2,0.497559,2,1597.519206,-0.122722,1597.519206,798.759603,89.723850,-1507.795356,1687.243056,158.4976
3,0.374512,2,1420.170534,1.953763,1420.170534,710.085267,89.723850,-1330.446684,1509.894384,125.2597
4,0.437012,2,1341.847088,-2.939405,1341.847088,670.923544,89.723850,-1252.123238,1431.570938,111.8244
5,0.495605,2,1332.038360,-0.454403,1332.038360,666.019180,89.723850,-1242.314510,1421.762210,110.1955
6,0.491699,2,985.987520,-0.537334,985.987520,492.993760,89.723850,-896.263670,1075.711370,60.3772
7,0.468262,2,948.837492,-1.417790,948.837492,474.418746,89.723850,-859.113642,1038.561342,55.9132
8,0.249023,4,819.027353,-0.093980,819.027353,409.513677,89.723850,-729.303503,908.751203,41.6608
9,0.483887,2,544.998474,-0.485931,544.998474,272.499237,89.723850,-455.274624,634.722324,18.4468
10,0.187012,5,537.809305,3.021009,537.809305,268.904652,89.723850,-448.085455,627.533155,17.9633
11,0.429199,2,533.162877,-2.106866,533.162877,266.581438,89.723850,-443.439027,622.886727,17.6543
12,0.218262,4,487.939684,-1.835028,487.939684,243.969842,89.723850,-398.215834,577.663534,14.7864
13,0.343262,2,471.813810,2.374520,471.813810,235.906905,89.723850,-382.089960,561.537660,13.8252
14,0.247559,4,455.108684,0.661335,455.108684,227.554342,89.723850,-365.384834,544.832534,12.8635
15,0.464355,2,442.313852,-1.439904,442.313852,221.156926,89.723850,-352.590002,532.037702,12.1504
16,0.421387,2,379.980756,-3.065831,379.980756,189.990378,89.723850,-290.256906,469.704606,8.9671
17,0.372559,2,368.122712,0.006181,368.122712,184.061356,89.723850,-278.398862,457.846562,8.4162
18,0.124023,8,345.661931,1.157267,345.661931,172.830965,89.723850,-255.938081,435.385781,7.4205
19,0.358887,2,340.659030,-2.828934,340.659030,170.329515,89.723850,-250.935180,430.382880,7.2073
20,0.245605,4,332.632701,0.084925,332.632701,166.316351,89.723850,-242.908851,422.356551,6.8716
