anchor_id,real_k,estimated_k,error_magnitude,error_direction,is_converging,convergence_rate,num_levels
1,225,225,0.000000,0,1,1.000000,3
2,248,248,0.000000,0,1,1.000000,3
3,248,248,0.000000,0,1,1.000000,3
4,104,104,0.000000,0,1,1.000000,3
5,64,64,0.000000,0,1,1.000000,3
6,164,164,0.000000,0,1,1.000000,3
7,62,62,0.000000,0,1,1.000000,3
8,204,204,0.000000,0,1,1.000000,3
9,41,41,0.000000,0,1,1.000000,3
10,17,17,0.000000,0,1,1.000000,3
11,17,17,0.000000,0,1,1.000000,3
12,237,237,0.000000,0,1,1.000000,3
13,44,44,0.000000,0,1,1.000000,3
14,241,241,0.000000,0,1,1.000000,3
15,170,170,0.000000,0,1,1.000000,3
16,199,199,0.000000,0,1,1.000000,3
17,114,114,0.000000,0,1,1.000000,3
18,34,34,0.000000,0,1,1.000000,3
19,91,91,0.000000,0,1,1.000000,3
20,161,161,0.000000,0,1,1.000000,3
