iteration,original,freq5,freq7,freq11,freq13,freq17,freq19,freq23,freq29,freq31
0,966589682.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,1175263144.100000,18460231.129267,25843303.283275,40606095.412434,47985232.577829,62737532.543252,70110112.947736,84846679.327489,106925680.490569,114277292.305355
2,1233989357.550000,38760542.414977,54256190.075744,85219336.763706,100681946.351102,131557029.771792,146964628.071498,177707773.041926,223605983.842608,238837983.734225
3,1254678946.950000,59103471.970927,82715459.814684,129842891.489872,153341591.169232,200167216.297314,223477504.824393,269851626.574600,338673348.245705,361384093.065929
4,1263153434.500000,79314060.397492,110969540.648006,174050278.919054,205435693.793261,267797509.036462,298734520.346323,360023060.287607,450202888.693240,479719268.859667
5,1266939266.450000,99402909.187766,139026707.598085,217823728.189404,256919187.224359,334311128.359054,372531233.956535,447831159.286220,557376209.139875,592838655.629376
6,1268710137.050000,119396171.087877,166917036.054865,261179978.585907,307788103.350666,399626590.520784,444726445.410581,532967022.066092,659497531.997287,699878708.128062
7,1269558102.900000,139314083.811786,194662338.917266,304123019.392116,358023733.505093,463644856.002822,515160979.337923,615106348.331324,755874378.037457,799991562.075130
8,1269968914.850000,159169310.624301,222273844.280559,346640473.355145,407588407.874904,526244106.934379,583652136.880385,693903835.602294,845814368.562699,892343619.664830
9,1270169092.700000,178968389.930472,249754230.976639,388706852.619688,456429415.610724,587285226.833476,650000142.150813,769002166.658850,928640431.616853,976133733.777829
10,1270266911.800000,198713524.805739,277100141.578828,430287571.859541,504483824.564527,646618467.163524,713995916.558338,840042580.901373,1003707767.413759,1050613086.893518
11,1270314778.700000,218404076.973528,304304281.304013,471342308.657806,551682527.225633,704089088.332896,775427691.482030,906673964.915198,1070418568.697256,1115102417.965475
12,1270338218.200000,238037645.294803,331356934.332912,511827443.645807,597953194.486642,759541550.830190,834085979.058711,968559860.918216,1128233673.904274,1169005685.313654
13,1270349699.850000,257610779.789539,358246969.050456,551697693.063745,643222270.544659,812822430.737209,889767095.169802,1025383623.500063,1176681418.788406,1211820434.227204
14,1270355324.800000,277119428.277230,384962468.380198,590907148.872160,687416264.001820,863782395.275776,942275610.625249,1076852179.821160,1215364248.998092,1243145462.557463
15,1270358081.000000,296559204.446335,411491109.784676,629409923.244608,730462568.550621,912277545.542079,991426074.620369,1122698809.893229,1243963610.572893,1262686331.960968
16,1270359431.400000,315925543.653675,437820387.920013,667160544.303337,772289987.310152,958170355.164582,1037044266.370584,1162685255.644578,1262243499.464807,1270259129.159654
17,1270360093.200000,335213792.346979,463937744.273402,704114204.505303,812829080.833645,1001330361.910803,1078968150.037032,1196603368.197255,1270052925.766032,1265792749.320381
18,1270360417.450000,354419257.932832,489830641.391551,740226920.995913,852012408.986882,1041634703.891690,1117048634.884269,1224276414.258946,1267327440.034387,1249329861.157068
19,1270360576.450000,373537237.061655,515486606.860575,775455647.421891,889774713.261724,1078968560.480781,1151150207.012771,1245560118.824380,1254089815.965295,1221026659.287493
20,1270360654.200000,392563031.133076,540893259.377418,809758356.619920,926053062.422340,1113225527.340353,1181151464.872776,1260343481.003298,1230449938.218472,1181151464.872776
21,1270360692.350000,411491955.646426,566038326.163127,843094108.558698,960786978.287752,1144307946.577987,1206945581.213450,1268549388.089815,1196603932.560786,1130082226.213844
22,1270360711.000000,430319345.205470,590909654.268897,875423107.582870,993918546.403941,1172127197.841717,1228440697.531945,1270135034.444177,1152832558.781479,1068302957.479900
23,1270360720.100000,449040557.080652,615495219.808629,906706755.111762,1025392518.675839,1196603958.699630,1245560259.669990,1265092154.616550,1099498893.147733,996399163.218276
24,1270360724.700000,467650973.528371,639783135.405740,936907698.242886,1055156408.435241,1217668434.536854,1258243294.535393,1253447071.135211,1037045322.142137,915052294.864552
25,1270360726.900000,486146003.311902,663761656.476760,965989875.198752,1083160578.973000,1235260558.892088,1266444628.740427,1235260558.892088,965989875.198752,825033294.760519
26,1270360727.950000,504521083.450607,687419187.761113,993918559.665465,1109358327.783734,1249330166.516804,1270135051.391166,1210627530.011126,886921929.902065,727195291.772311
27,1270360728.250000,522771680.282918,710744288.845623,1020660402.152642,1133705964.344213,1259837136.339276,1269301418.066127,1179676538.528029,800497323.494038,622465516.238828
28,1270360728.450000,540893290.991531,733725680.252348,1046183470.625570,1156162883.886086,1266751506.915474,1263946698.704433,1142569110.551611,707432913.817978,511836513.170402
29,1270360728.500000,558881444.313846,756352248.349033,1070457287.855667,1176691634.249181,1270053560.912419,1254089966.067841,1099498900.417944,608500632.698062,396356735.275496
30,1270360728.600000,576731702.026609,778613051.242675,1093452868.561371,1195257979.174418,1269733882.266691,1239766328.749460,1050690680.946339,504521083.708753,277120607.079677
31,1270360728.600000,594439659.777725,800497323.714584,1115142753.514942,1211830954.845752,1265793382.435918,1221026805.528812,996399169.885195,396356735.306697,155258152.658070
32,1270360728.600000,612000948.437582,821994482.784333,1135501042.837661,1226382922.085300,1258243298.398192,1197938144.239764,936907701.119187,284904767.283332,31924286.357186
