anchor_id,real_k,estimated_k,error_magnitude,error_direction,is_converging,convergence_rate,num_levels
1,225,92,133.000000,-1,0,0.000000,1
2,248,194,54.000000,-1,0,0.000000,1
3,248,194,54.000000,-1,0,0.000000,1
4,104,92,12.000000,-1,0,0.000000,1
5,64,92,28.000000,1,0,0.000000,1
6,164,194,30.000000,1,0,0.000000,1
7,62,92,30.000000,1,0,0.000000,1
8,204,92,112.000000,-1,0,0.000000,1
9,41,92,51.000000,1,0,0.000000,1
10,17,92,75.000000,1,0,0.000000,1
11,17,92,75.000000,1,0,0.000000,1
12,237,92,145.000000,-1,0,0.000000,1
13,44,92,48.000000,1,0,0.000000,1
14,241,92,149.000000,-1,0,0.000000,1
15,170,92,78.000000,-1,0,0.000000,1
16,199,92,107.000000,-1,0,0.000000,1
17,114,92,22.000000,-1,0,0.000000,1
18,34,92,58.000000,1,0,0.000000,1
19,91,92,1.000000,1,0,0.000000,1
20,161,92,69.000000,-1,0,0.000000,1
