sample_id,true_k,num_tori,intersection_size,reduction_factor,contains_true_k,tightest_torus_size
0,5,20,199.850459,1.275954,1,199.850459
1,7,20,229.498925,1.111116,1,229.498925
2,12,20,65.980941,3.864752,1,65.980941
3,17,20,255.000000,1.000000,1,255.000000
4,28,20,137.699355,1.851861,1,137.699355
5,33,20,243.842608,1.045757,1,243.842608
6,43,20,197.942823,1.288251,1,197.942823
7,48,20,240.973871,1.058206,1,240.973871
8,58,20,197.942823,1.288251,1,197.942823
9,73,20,232.367662,1.097399,1,232.367662
10,79,20,255.000000,1.000000,1,255.000000
11,94,20,252.448818,1.010106,1,252.448818
12,104,20,249.580081,1.021716,1,249.580081
13,109,20,177.861667,1.433698,1,177.861667
14,119,20,163.517984,1.559461,1,163.517984
15,135,20,240.973871,1.058206,1,240.973871
16,150,20,255.000000,1.000000,1,255.000000
17,155,20,255.000000,1.000000,1,255.000000
18,170,20,255.000000,1.000000,1,255.000000
19,181,20,255.000000,1.000000,1,255.000000
