iteration,estimated_k,error_min,error_max
0,116.650000,0.000000,111.000000
1,100.650000,1.000000,95.000000
2,95.000000,1.000000,93.000000
3,91.950000,3.000000,92.000000
4,90.950000,4.000000,92.000000
5,90.300000,5.000000,92.000000
6,89.800000,6.000000,92.000000
7,89.800000,6.000000,92.000000
8,89.800000,6.000000,92.000000
9,89.750000,6.000000,92.000000
10,89.750000,6.000000,92.000000
11,89.700000,6.000000,92.000000
12,89.700000,6.000000,92.000000
13,89.700000,6.000000,92.000000
14,89.700000,6.000000,92.000000
15,89.700000,6.000000,92.000000
16,89.700000,6.000000,92.000000
17,89.700000,6.000000,92.000000
18,89.700000,6.000000,92.000000
19,89.700000,6.000000,92.000000
20,89.700000,6.000000,92.000000
21,89.700000,6.000000,92.000000
22,89.700000,6.000000,92.000000
23,89.700000,6.000000,92.000000
24,89.700000,6.000000,92.000000
25,89.700000,6.000000,92.000000
26,89.700000,6.000000,92.000000
27,89.700000,6.000000,92.000000
28,89.700000,6.000000,92.000000
29,89.700000,6.000000,92.000000
30,89.700000,6.000000,92.000000
31,89.700000,6.000000,92.000000
32,89.700000,6.000000,92.000000
33,89.700000,6.000000,92.000000
34,89.700000,6.000000,92.000000
35,89.700000,6.000000,92.000000
36,89.700000,6.000000,92.000000
37,89.700000,6.000000,92.000000
38,89.700000,6.000000,92.000000
39,89.700000,6.000000,92.000000
40,89.700000,6.000000,92.000000
41,89.700000,6.000000,92.000000
42,89.700000,6.000000,92.000000
43,89.700000,6.000000,92.000000
44,89.700000,6.000000,92.000000
45,89.700000,6.000000,92.000000
46,89.700000,6.000000,92.000000
47,89.700000,6.000000,92.000000
48,89.700000,6.000000,92.000000
49,89.700000,6.000000,92.000000
50,89.700000,6.000000,92.000000
51,89.700000,6.000000,92.000000
52,89.700000,6.000000,92.000000
53,89.700000,6.000000,92.000000
54,89.700000,6.000000,92.000000
55,89.700000,6.000000,92.000000
56,89.700000,6.000000,92.000000
